id,receipt_number,store_name,store_id,ticket_amount,print_time,processing_date,created_at,updated_at,source_file_path,original_filename
2828,81568912507290044,安三胖,305980,404.00,2025-07-30T04:02:37,2025-07-30,2025-07-29T23:34:56.943042,2025-07-29T23:34:56.943042,C:\Point Detection\worker\data\converted_tz\2025-07-30\81568912507290044.json,81568912507290044.json
2829,81568912507290049,安三胖,305980,300.00,2025-07-30T04:16:17,2025-07-30,2025-07-29T23:34:56.953809,2025-07-29T23:34:56.953809,C:\Point Detection\worker\data\converted_tz\2025-07-30\81568912507290049.json,81568912507290049.json
2830,81568912507290052,安三胖,305980,,2025-07-30T04:44:00,2025-07-30,2025-07-29T23:34:56.966917,2025-07-29T23:34:56.966917,C:\Point Detection\worker\data\converted_tz\2025-07-30\81568912507290052.json,81568912507290052.json
2831,81568912507290056,安三胖,305980,238.00,2025-07-30T05:49:19,2025-07-30,2025-07-29T23:34:56.977641,2025-07-29T23:34:56.977641,C:\Point Detection\worker\data\converted_tz\2025-07-30\81568912507290056.json,81568912507290056.json
2832,8291328,LOHO眼镜生活,306079,789.00,2025-07-30T02:39:38,2025-07-30,2025-07-29T23:34:56.987792,2025-07-29T23:34:56.987792,C:\Point Detection\worker\data\converted_tz\2025-07-30\8291328.json,8291328.json
2833,87456042507060051,濠七糟粕醋火锅,306708,258.00,2025-07-30T01:07:54,2025-07-30,2025-07-29T23:34:56.997838,2025-07-29T23:34:56.997838,C:\Point Detection\worker\data\converted_tz\2025-07-30\87456042507060051.json,87456042507060051.json
2834,87456042507290021,濠七糟粕醋火锅,306708,258.00,2025-07-30T03:40:24,2025-07-30,2025-07-29T23:34:57.007952,2025-07-29T23:34:57.007952,C:\Point Detection\worker\data\converted_tz\2025-07-30\87456042507290021.json,87456042507290021.json
2835,87456042507290022,濠七糟粕醋火锅,306708,292.00,2025-07-30T03:24:42,2025-07-30,2025-07-29T23:34:57.018845,2025-07-29T23:34:57.018845,C:\Point Detection\worker\data\converted_tz\2025-07-30\87456042507290022.json,87456042507290022.json
2836,87456042507290023,濠七糟粕醋火锅,306708,548.40,2025-07-30T03:47:26,2025-07-30,2025-07-29T23:34:57.029924,2025-07-29T23:34:57.029924,C:\Point Detection\worker\data\converted_tz\2025-07-30\87456042507290023.json,87456042507290023.json
2837,87456042507290025,濠七糟粕醋火锅,306708,186.00,2025-07-30T03:33:58,2025-07-30,2025-07-29T23:34:57.040346,2025-07-29T23:34:57.040346,C:\Point Detection\worker\data\converted_tz\2025-07-30\87456042507290025.json,87456042507290025.json
2838,87456042507290030,濠七糟粕醋火锅,306708,212.00,2025-07-30T05:07:39,2025-07-30,2025-07-29T23:34:57.051092,2025-07-29T23:34:57.051092,C:\Point Detection\worker\data\converted_tz\2025-07-30\87456042507290030.json,87456042507290030.json
2839,A#202507120004,WOW BEAUTY,307123,99.00,2025-07-30T00:02:04,2025-07-30,2025-07-29T23:34:57.062659,2025-07-29T23:34:57.062659,C:\Point Detection\worker\data\converted_tz\2025-07-30\A__HASH__202507120004.json,A__HASH__202507120004.json
2840,A#202507290035,WOW BEAUTY,307123,49.90,2025-07-30T00:06:12,2025-07-30,2025-07-29T23:34:57.073595,2025-07-29T23:34:57.073595,C:\Point Detection\worker\data\converted_tz\2025-07-30\A__HASH__202507290035.json,A__HASH__202507290035.json
2841,A#202507290036,WOW BEAUTY,307123,25.60,2025-07-30T00:06:42,2025-07-30,2025-07-29T23:34:57.083924,2025-07-29T23:34:57.083924,C:\Point Detection\worker\data\converted_tz\2025-07-30\A__HASH__202507290036.json,A__HASH__202507290036.json
2842,A#202507290037,WOW BEAUTY,307123,64.00,2025-07-30T00:11:46,2025-07-30,2025-07-29T23:34:57.094749,2025-07-29T23:34:57.094749,C:\Point Detection\worker\data\converted_tz\2025-07-30\A__HASH__202507290037.json,A__HASH__202507290037.json
2843,A#202507290038,WOW BEAUTY,307123,25.00,2025-07-30T00:18:08,2025-07-30,2025-07-29T23:34:57.106004,2025-07-29T23:34:57.106004,C:\Point Detection\worker\data\converted_tz\2025-07-30\A__HASH__202507290038.json,A__HASH__202507290038.json
2844,A#202507290039,WOW BEAUTY,307123,101.72,2025-07-30T00:32:56,2025-07-30,2025-07-29T23:34:57.117484,2025-07-29T23:34:57.117484,C:\Point Detection\worker\data\converted_tz\2025-07-30\A__HASH__202507290039.json,A__HASH__202507290039.json
2845,A#202507290040,WOW BEAUTY,307123,49.00,2025-07-30T00:44:44,2025-07-30,2025-07-29T23:34:57.127732,2025-07-29T23:34:57.127732,C:\Point Detection\worker\data\converted_tz\2025-07-30\A__HASH__202507290040.json,A__HASH__202507290040.json
2846,A#202507290041,WOW BEAUTY,307123,129.00,2025-07-30T00:47:18,2025-07-30,2025-07-29T23:34:57.139022,2025-07-29T23:34:57.139022,C:\Point Detection\worker\data\converted_tz\2025-07-30\A__HASH__202507290041.json,A__HASH__202507290041.json
2847,A#202507290042,WOW BEAUTY,307123,61.24,2025-07-30T00:59:06,2025-07-30,2025-07-29T23:34:57.173145,2025-07-29T23:34:57.173145,C:\Point Detection\worker\data\converted_tz\2025-07-30\A__HASH__202507290042.json,A__HASH__202507290042.json
2848,A#202507290043,WOW BEAUTY,307123,69.00,2025-07-30T01:01:22,2025-07-30,2025-07-29T23:34:57.185027,2025-07-29T23:34:57.185027,C:\Point Detection\worker\data\converted_tz\2025-07-30\A__HASH__202507290043.json,A__HASH__202507290043.json
2849,A#202507290044,WOW BEAUTY,307123,103.84,2025-07-30T03:07:12,2025-07-30,2025-07-29T23:34:57.195919,2025-07-29T23:34:57.195919,C:\Point Detection\worker\data\converted_tz\2025-07-30\A__HASH__202507290044.json,A__HASH__202507290044.json
2850,A#202507290045,WOW BEAUTY,307123,185.15,2025-07-30T03:27:38,2025-07-30,2025-07-29T23:34:57.208832,2025-07-29T23:34:57.208832,C:\Point Detection\worker\data\converted_tz\2025-07-30\A__HASH__202507290045.json,A__HASH__202507290045.json
2851,A#202507290046,WOW BEAUTY,307123,59.90,2025-07-30T03:29:52,2025-07-30,2025-07-29T23:34:57.221106,2025-07-29T23:34:57.221106,C:\Point Detection\worker\data\converted_tz\2025-07-30\A__HASH__202507290046.json,A__HASH__202507290046.json
2852,A#202507290047,WOW BEAUTY,307123,181.04,2025-07-30T03:30:52,2025-07-30,2025-07-29T23:34:57.233815,2025-07-29T23:34:57.233815,C:\Point Detection\worker\data\converted_tz\2025-07-30\A__HASH__202507290047.json,A__HASH__202507290047.json
2853,A#202507290048,WOW BEAUTY,307123,34.90,2025-07-30T03:44:58,2025-07-30,2025-07-29T23:34:57.244932,2025-07-29T23:34:57.244932,C:\Point Detection\worker\data\converted_tz\2025-07-30\A__HASH__202507290048.json,A__HASH__202507290048.json
