id,processing_date,total_receipts,total_amount,avg_amount,unique_stores,created_at,updated_at,earliest_receipt,latest_receipt
1,2025-07-28,2,2570.00,1285.00,1,2025-07-29T22:21:31.806024,2025-07-29T22:21:31.806024,2025-07-28T17:08:28,2025-07-28T17:09:16
2,2025-07-29,2011,690588.03,358.93,51,2025-07-29T22:21:33.951191,2025-07-29T23:34:47.540359,2025-07-29T00:30:43,2025-07-29T18:44:36
25,2025-07-30,1037,386914.34,394.01,46,2025-07-29T23:34:59.765382,2025-07-29T23:34:59.765382,2025-07-30T00:01:08,2025-07-30T07:14:06
